Location,Site,Date,Method,Visit,Wind.speed,Wind.direction,Temp,Sunshine,Time,Species,Species.1,Common.name,Caste,Number,Forage.plant,Pollen,ID,ITD,Hive.Distance,Hive.Density,Buildings,Impervious,Bee.habitat,Floral.Units,Ex.Nests.BeeHabitat,Rail,Total.Water,Building.Vol,ITD.error
City,Beech,28/05/2021,Transect,2,0,NA,22,S,09:20:00,Anthophora plumipes,Solitary,Hairy footed flower bee,F,6,Nepeta,N,NA,NA,320,5,55.29,33.38,8.4,2280,6,0.26,0.52,19,NA
City,Beech,19/05/2021,Transect,1,3,SW,22,S,15:40:00,Apis mellifera,Honey,Honey,W,4,Thyme,N,NA,NA,320,5,55.29,33.38,8.4,2280,6,0.26,0.52,19,NA
City,Beech,28/05/2021,Transect,2,0,NA,22,S,09:20:00,Apis mellifera,Honey,Honey,W,1,Geranium,NA,NA,NA,320,5,55.29,33.38,8.4,2280,6,0.26,0.52,19,NA
City,Beech,08/06/2021,Transect,4,1,SW,25,S,16:52:00,Apis mellifera,Honey,Honey,W,3,Nepeta,NA,NA,NA,320,5,55.29,33.38,8.4,2280,6,0.26,0.52,19,NA
City,Beech,08/06/2021,Transect,4,1,SW,25,S,16:52:00,Apis mellifera,Honey,Honey,W,16,Alium,NA,NA,NA,320,5,55.29,33.38,8.4,2280,6,0.26,0.52,19,NA
City,Beech,08/06/2021,Transect,4,1,SW,25,S,16:52:00,Apis mellifera,Honey,Honey,W,7,Salvia,NA,NA,NA,320,5,55.29,33.38,8.4,2280,6,0.26,0.52,19,NA
City,Beech,09/06/2021,Transect,5,3,SW,24,S,16:46:00,Apis mellifera,Honey,Honey,W,19,Salvia,NA,NA,NA,320,5,55.29,33.38,8.4,2280,6,0.26,0.52,19,NA
City,Beech,09/06/2021,Transect,5,3,SW,24,S,16:46:00,Apis mellifera,Honey,Honey,W,9,Alium,NA,NA,NA,320,5,55.29,33.38,8.4,2280,6,0.26,0.52,19,NA
City,Beech,09/06/2021,Transect,5,3,SW,24,S,16:46:00,Apis mellifera,Honey,Honey,W,2,Thyme,NA,NA,NA,320,5,55.29,33.38,8.4,2280,6,0.26,0.52,19,NA
City,Beech,01/07/2021,Transect,6,3,SW,22,C,14:27:00,Apis mellifera,Honey,Honey,W,5,Veronica spicata,NA,NA,NA,320,5,55.29,33.38,8.4,2280,6,0.26,0.52,19,NA
City,Beech,01/07/2021,Transect,6,3,SW,22,C,14:27:00,Apis mellifera,Honey,Honey,W,3,Nepeta,NA,NA,NA,320,5,55.29,33.38,8.4,2280,6,0.26,0.52,19,NA
City,Beech,01/07/2021,Transect,6,3,SW,22,C,14:27:00,Apis mellifera,Honey,Honey,W,3,Geranium,NA,NA,NA,320,5,55.29,33.38,8.4,2280,6,0.26,0.52,19,NA
East,BG,26/04/2021,Transect,1,3,NE,17,S,12:10:00,Bombus terrestris,Buff,Buff tail,W,1,Camassia,Y,20210426_BG_Buff_001,4.453229479,300,1,21.53,48.93,17.83,6024,13,2.79,6.61,4,2.699347819
East,BG,26/04/2021,Transect,1,3,NE,17,S,12:10:00,Bombus terrestris,Buff,Buff tail,W,1,Camassia,N,20210426_BG_Buff_002,4.458391304,300,1,21.53,48.93,17.83,6024,13,2.79,6.61,4,4.203683242
